desperate ['despərit] a.不顾死活的，拼命的
despicable ['despikəbl] a.可鄙的，卑劣的
despise [dis'paiz] v.鄙视，藐视
despondent [dis'pɔndənt] a.失望的，意气消沉的
despot ['despɔt] n.暴君
despotic [des'pɔtik] a.专横的，暴虐的
despotism ['despətizəm] n.专制，暴政
destitution [,desti'tju:ʃən] n.匮乏，穷困
desultory ['desəltəri] a.不连贯的，散乱的
detach [di'tætʃ] v.分离...，拆下...；(士兵、舰船)派遣，分遣
detached [di'tætʃt] a.分开的；公平的，中立的
detain [di'tein] v.拘留；使延迟
detection [di'tekʃən] n.查出，探获
deter [di'tə:] v.威慑，吓住；阻止
detergent [di'tə:dʒənt] a.洗涤的，去污的；n.清洁剂
deteriorate [di'tiəriəreit] v.(使)变坏，恶化
deterioration [di,tiəriə'reiʃən] n.恶化，堕落
determinant [di'tə:minənt] n.决定因素；a.决定性的
determination [di,tə:mi'neiʃən] n.决心；确定；预测
detest [di'test] v.深恶，憎恶
detonation [,detəu'neiʃən] n.爆炸(声)
detour ['di:tuə(r)] n.弯路；绕行之路
detraction [di'trækʃən] n.贬低，诽谤
detrimental [,detri'mentl] a.损害的，造成伤害的
detritus [di'traitəs] n.碎屑；废墟
devastate ['devəsteit] v.摧毁，破坏
deviant ['di:viənt] a.越出常规的
deviate ['di:vieit] v.越轨，脱离
deviation [,di:vi'eiʃən] n.背离正道
devious ['di:vjəs] a.不正直的；弯曲的
devise [di'vaiz] v.发明，设计；图谋；遗赠给
devoid [di'vɔid] a.空的；缺少的
devoted [di'vəutid] a.投入的，热爱的
devotee [,devəu'ti:] n.爱好者
devotional [di'vəuʃənəl] a.献身的，崇拜的
devour [di'vauə] v.吞食；贪婪地看
devout [di'vaut] a.(对宗教)虔敬的；(对事业)忠诚的，忠心的
dexterity [deks'teriti] n.纯熟，灵巧
dexterous ['dekstərəs] a.灵巧的，熟练的
diabetes [,daiə'bi:ti:z] n.糖尿病
diabolical [daiə'bɔlikəl] a.恶毒的，狠毒的
diagnose ['daiəɡnəuz] v.判断，诊断
diagonal [dai'æɡənl] a.对角的；n.对角线
diagram ['daiəɡræm] n.图解，图表
dialect ['daiəlekt] n.方言
diameter [dai'æmitə] n.直径
diaphanous [dai'æfənəs] a.精致的，透明的
diatribe ['daiətraib] n.(口头或书面猛烈的)抨击
dictate [dik'teit] v.口述；命令
didactic [di'dæktik] a.教诲的；说教的
die [dai] n.金属模子，印模
diehard ['daihɑ:d] n.顽固分子
differentiate [,difə'renʃieit] v.辨别，区别
diffident ['difidənt] a.缺乏自信的
diffuse [di'fju:z] v.扩散；(光等)漫射；a.四散的；漫射的
digestion [di'dʒestʃən] n.消化，吸收
digit ['didʒit] n.手指，足趾；数字，数码
dignity ['diɡniti] n.尊严，尊贵
digress [dai'ɡres] v.离题
digression [dai'ɡreʃən] n.离题，题外话
dilapidate [di'læpi,deit] v.(使)荒废，(使)毁坏
dilapidated [di'læpideitid] a.破旧的，倒塌的
dilate [dai'leit] v.(身体某部位)张大，扩大
dilatory ['dilətəri] a.慢吞吞的，磨蹭的
dilemma [di'lemə] n.困境，左右为难
dilettante [,dili'tænti] n.业余爱好者
diligence ['dilidʒəns] n.勤勉，勤奋
dilute [dai'lju:t] v.把(液体)弄稀，弄淡
dim [dim] v.使暗淡，使模糊
dimension [di'menʃən] n.维度，尺寸
diminution [,dimi'nju:ʃən] n.减少，缩减
dimple ['dimpl] n.酒窝，笑靥
din [din] n.喧闹声，嘈杂声
dingy ['dindʒi] a.肮脏的；褪色的
diplomatic [,diplə'mætik] a.外交的；圆滑的
dire ['daiə] a.可怕的
dirge ['də:dʒ] n.（葬礼）哀歌
disabuse [,disə'bju:z] v.打消(某人的)错误念头；纠正
disaffect [,disə'fekt] v.使不满；使不忠
disagreeable [,disə'ɡriəbl] a.不愉快的；难以相处的，乖戾的
disarm [dis'ɑ:m] v.使„解除武器；使„缓和
disarray [,disə'rei] n.混乱，漫无秩序
disaster [di'zɑ:stə] n.灾难，大不幸
disbar [dis'bɑ:] v.取消律师资格
disburse [dis'bə:s] v.支付，支出
discard [dis'kɑ:d] v.扔掉，抛弃
discern [di'sə:n] v.(费劲)识别，看出
