ravage ['rævidʒ] v.摧毁，使荒废
rave [reiv] n.热切赞扬；v.狂语，说疯话
ravel ['rævəl] v.(线，情感)纠缠，纠结；(线)拆开，拆散
ravenous ['rævinəs] a.饿极了的
ravine [rə'vi:n] n.既深又宽、坡度很大的山谷
ravishing ['ræviʃiŋ] a.令人陶醉的，使人入迷的
raze [reiz] v.彻底破坏(建筑、城镇)
razor ['reizə] n.剃刀，刮胡刀
reactant [ri'æktənt] n.反应物
reactionary [ri(:)'ækʃənəri] a.保守的，反动的，反对改革进步的
readily ['redili] adv.不迟疑地；迅速地，轻易地
ready ['redi] a.机敏的，迅速的
reagent [ri(:)'eidʒənt] n.试剂(导致化学或生物反应)
realign [,riə'lain] v.重新组合(排列)
realm [relm] n.王国；领域，范围
ream [ri:m] n.令(纸张的计数单位，旧为张，现为或)
reap [ri:p] v.收割，收获(庄家，尤指谷物)
reaper ['ri:pə] n.收割者
rebate ['ri:beit] n.折扣，回扣
rebellious [ri'beljəs] a.反抗的，叛逆的，难控制的
rebuff [ri'bʌf] v.粗暴拒绝(好意，友好，请求)
rebuke [ri'bju:k] v.指责，谴责
rebus ['ri:bəs] n.(以音、画等提示的)字谜，画谜
rebuttal [ri'bʌtəl] n.反驳
recalcitrant [ri'kælsitrənt] a.顽抗的，不服从的，不守纪律的
recall [ri'kɔ:l] v.回想，回忆起；收回；n.唤回，召回
recant [ri'kænt] v.改变，放弃(以前的信仰)
recantation [,rikæn'teiʃn] n.改变（宗教）信仰
recapitulate [,ri:kə'pitjuleit] v.扼要重述，重述要点
recast [,ri:'kɑ:st] v.重铸；更换演员
recede [ri'si:d] v.后退；收回(诺言)
receipt [ri'si:t] n.收到，接到；发票，收据
receptacle [ri'septəkl] n.容器
receptive [ri'septiv] a.善于接受的
recess [ri'ses] n.壁凹(墙上装的架子、柜子等凹处)；(工作)休假期；(法庭、国会)休庭期
recession [ri'seʃən] n.经济萧条时期；撤回，退回
recessive [ri'sesiv] a.隐性遗传的；有倒退倾向的
recipe ['resipi] n.食谱
recipient [ri'sipiənt] n.接受者，收受者
reciprocal [ri'siprəkəl] a.相互的，互惠的
reciprocate [ri'siprəkeit] v.回报，答谢
recital [ri'saitl] n.独奏；吟诵
reclaim [ri'kleim] v.纠正(错误)；开垦(土地)
recluse [ri'klu:s] n.隐士；a.隐居的
recoil [ri'kɔil] v.退却，退缩
recollection [,rekə'lekʃən] n.记忆力；记忆中的往事
recombine [ri:kəm'bain] v.重组，再结合
recompense ['rekəmpəns] v.报酬，赔偿
reconcile ['rekənsail] v.和解，调和
recondite [ri'kɔndait] a.深奥的，难懂的
reconnaissance [ri'kɔnisəns] n.侦察，预先探索
reconstitute ['ri:'kɔnstitju:t] v.再组成，改组；用水泡(脱水食品)
recourse [ri'kɔ:s] n.求助，依靠
recruit [ri'kru:t] n.新兵；新成员；v.征募
rectangle ['rektæŋɡl] n.长方形，矩形
rectify ['rektifai] v.改正，调正；提纯(尤指蒸馏)
rectitude ['rektitju:d] n.诚实，正直
recumbent [ri'kʌmbənt] a.(人)躺着的，斜靠的；休息的
recuperate [ri'kju:pəreit] v.恢复(健康)，复原
redeem [ri'di:m] v.赎罪
redemptive [ri'demptiv] a.(用以)赎回的，救赎的，救世的
redirect ['ri:di'rekt] v.改寄(信件)；改变方向
redistribution ['ri:distri'bju:ʃən] n.重新分配
redolent ['redəulənt] a.芬芳的，芳香的
redoubtable [ri'dautəbl] a.可敬畏的，可怕的
redress [ri'dres] n.改正，修正
redundancy [ri'dʌndənsi] n.过剩，裁员；备份；似乎多余其实重要的后备力量
redundant [ri'dʌndənt] a.累赘的，多余的
reed [ri:d] n.芦苇；(乐器)簧片(如单、双簧管中的)
reek [ri:k] v.发臭味；冒烟
reel [ri:l] n.卷轴，旋转；v.卷„于轴上
refectory [ri'fektəri] n.(学院)餐厅，食堂
referee [,refə'ri:] n.裁判员；仲裁者
refinery [ri'fainəri] n.提炼厂，精炼厂
reflect [ri'flekt] v.反射；仔细考虑
