foible ['fɔibl] n.小缺点，小毛病
foil [fɔil] n.钝剑；箔，锡箔纸；v.阻止，挫败
fold [fəuld] n.羊栏，畜栏；v.折叠
folder ['fəuldə] n.文件夹，纸夹
foliage ['fəuliidʒ] n.叶子(总称)
folklore ['fəuklɔ:] n.民间传说；民俗学
folly ['fɔli] n.愚蠢；愚蠢的行为，思想或做法
foment [fəu'ment] v.煽动，助长(坏事)
foodstuff ['fu:dstʌf] n.食料，食品
foolproof ['fu:lpru:f] a.容易懂的，简易而不会误用的
foppish ['fɔpiʃ] a.浮华的，俗丽的
forage ['fɔridʒ] n.(牛马的)饲料，粮草；v.搜寻，翻寻(尤指食物)
forager ['fɔridʒə] n.为动物寻找饲料的人；粮草征发员；成散开横队的骑兵
forbearance [fɔ:'beərəns] n.自制，忍耐
forbid [fə'bid] v.不许，禁止；妨碍，阻止
forbidding [fə'bidiŋ] a.(表情)冷峻的；形势险恶的
ford [fɔ:d] n.浅滩，水浅可涉处；v.涉水
forebode [fɔ:'bəud] v.不祥预感，凶兆
forecast ['fɔ:kɑ:st] v.预报，预测；n.预测
foreknowledge [fɔ:'nɔlidʒ] n.（知识）预知
forerunner ['fɔ:,rʌnə] n.预兆，前兆；先驱
foreshadow [fɔ:'ʃædəu] v.预示
foresight ['fɔ:sait] n.远见，深谋远虑
forestall [fɔ:'stɔ:l] v.先发制人，预先阻止
forestry ['fɔristri] n.森林学；林产；林地
forfeit ['fɔ:fit] v.丧失，被罚没收；n.丧失物
forge [fɔ:dʒ] n.铁匠铺；v.锤炼；伪造
forger ['fɔ:dʒə] n.打铁匠；伪造者
forgery ['fɔ:dʒəri] n.伪造(物)
forgo [fɔ:'ɡəu] v.放弃，抛弃
formality [fɔ:'mæliti] n.遵循的规范；拘泥形式；正式
formation [fɔ:'meiʃən] n.组织，形成；(军队)编队
formidable ['fɔ:midəbl] a.可怕的；困难的
formula ['fɔ:mjulə] n.分子式；公式；套语，惯用语
forsake [fə'seik] v.遗弃，放弃
