insomnia [in'sɔmniə] n.失眠症
insouciant [in'su:siənt] a.漫不经心的，漠不关心的
inspection [in'spekʃən] n.检查，细看
inspiration [,inspə'reiʃən] n.启示，灵感
inspired [in'spaiəd] a.有创见的，有灵感的
install [in'stɔ:l] v.安装，装置；使就职
instantaneous [,instən'teinjəs] a.立即的，瞬间发生的
instate [in'steit] v.任命，安置
instigate ['instiɡeit] v.发起，煽动
instill [in'stil] v.滴注；逐渐灌输
instinctive [in'stiŋktiv] a.本能的
institute ['institju:t] v.制定，创立(社团，规章)；n.学院，协会
institution [,insti'tju:ʃən] n.公共机构，协会；制度
institutionalized [,insti'tju:ʃənəlaizd] a.制度化的，有组织的
instructive [in'strʌktiv] a.传授知识的，启蒙的
instrumental [,instru'mentl] a.有帮助的，有作用的
instrumentalist [instrə'mentəlist] n.乐器演奏者
insubordinate [,insə'bɔ:dnit] a.不服从的，反抗的
insubstantial [,insəb'stænʃəl] a.非实体的；薄弱的，不坚实的
insufficient [,insə'fiʃənt] a.不足的
insular ['insjulə] a.岛屿的；心胸狭窄的
insularity [,insju'lærəti] n.岛国状态，岛屿生活状况，与外界隔绝的生活状况；(思想, 观点等的)偏狭
insulate ['insjuleit] v.使绝缘；使隔离
insulin ['insjulin] n.胰岛素
insurgent [in'sə:dʒənt] a.叛乱的，起事的；n.叛乱分子
insurrection [,insə'rekʃən] n.造反，叛乱
intact [in'tækt] a.完整无损的，未动过的
intangibility [in,tændʒə'biləti] n.无形，不可接触
intangible [in'tændʒəbl] a.无形的，不可触摸的
integral ['intiɡrəl] a.构成整体所必需的；完整的
integrate ['intiɡreit] v.使成整体
integrity [in'teɡriti] n.正直，诚实；完整
intellect ['intilekt] n.智力，思维能力
intellectual [,inti'lektjuəl] a.智力的，理智的；n.知识分子
intelligible [in'telidʒəbl] a.可(易)了解的，清晰的
intensify [in'tensifai] v.加剧
intent [in'tent] a.专心的，渴望的；n.目的，意向
intentional [in'tenʃənəl] a.存心的，故意的
inter [in'tə:] v.埋葬
interaction [,intər'ækʃən] n.相互作用(影响)，合作，配合
intercede [,intə(:)'si:d] v.说好话，代为求情
intercept [,intə'sept] v.中途拦截，截取
intercessor [,intə'sesə] n.仲裁者，调解人
interchangeable [intə'tʃeindʒəb(ə)l] a.可互换的
interdict [intə'dikt] v.禁止；切断(补给线)
interference [,intə'fiərəns] n.干涉，妨碍
interim ['intərim] n.中间时期，过渡时期；a.暂时的
interjection [,intə'dʒekʃən] n.插入语；感叹词
interlock [,intə'lɔk] v.连锁，连串
interlocking [,intə(:)'lɔkiŋ] a.连锁的
interlude ['intə(:),lu:d] n.(活动间的)暂时休息
intermediary [,intə'mi:diəri] n.仲裁者，调解人；中间物；a.中间的，媒介的
interminable [in'tə:minəbl] a.(贬)无尽头的，持续过久的
intermingle [,intə(:)'miŋɡl] v.混合，掺杂
intermission [,intə(:)'miʃən] n.暂停，间歇
intermittent [,intə(:)'mitənt] a.断断续续的，间歇的
intern [in'tə:n] v.拘禁，软禁；n.实习生
internecine [,intə(:)'ni:sain] a.两败俱伤的
interplay ['intə(:)'plei] v./n.相互影响
interpolate [in'tə:pəuleit] v.插入(言语，文字)；篡改
interpose [,intə(:)'pəuz] v.置于„之间；使介入，插手干涉
interregnum [,intə(:)'reɡnəm] n.无王时期
interrogate [in'terəɡeit] v.审问，审讯
interrogative [,intə'rɔɡətiv] a.疑问的
interrupt [,intə'rʌpt] v.暂时中止；打断，打扰
intersect [,intə'sekt] v.横截，横断；(线条)相交
intersperse [,intə(:)'spə:s] v.散布；点缀
intertwine [,intə(:)'twain] v.纠缠，缠，绕
intervene [,intə'vi:n] v.干涉，介入
intimate ['intimit] a.亲密的；n.密友；v.暗示
intimidate [in'timideit] v.恐吓，胁迫
intoxicate [in'tɔksikeit] v.(使)沉醉，(使)欣喜若狂；(使)喝醉
intractable [in'træktəbl] a.倔强的；难管的
intransigent [in'trænsidʒənt] a.不妥协的
intrepid [in'trepid] a.无畏的，刚毅的
intricacy ['intrikəsi] n.错综，复杂，纷乱
intricate ['intrikit] a.复杂难懂的
intrigue [in'tri:ɡ] v.密谋；引起„极大兴趣
introspective [,intrəu'spektiv] a.自省的，好反省的
intrude [in'tru:d] v.把(思想等)强加于；闯入
intuition [,intju(:)'iʃən] n.直觉；由直觉获知的知识
intuitive [in'tju(:)itiv] a.直觉的
inundate ['inəndeit] v.淹没；泛滥
inured [i'njuəd] a.习惯的
invade [in'veid] v.侵犯，侵入
invective [in'vektiv] n.猛烈抨击，痛骂
inveigh [in'vei] v.痛骂，抨击
inveigle [in'vi:ɡl] v.诱骗，诱使
inventory ['inventəri] n.详细目录；存货清单
inverse [in'və:s] a.相反的；倒转的
invert [in'və:t] v.上下倒置
invertebrate [in'və:tibrit] adj./n.无脊椎的(动物)
investigate [in'vestiɡeit] v.调查
inveterate [in'vetərit] a.积习已深的
invidious [in'vidiəs] a.惹人反感的，导致伤害和仇恨的，招人嫉妒的
invigorate [in'viɡəreit] v.鼓舞，激励，使精力充沛，使充满活力
invigorating [in'viɡəreitiŋ] a.使人有精神的，使人健壮的
inviolable [in'vaiələbl] a.不可侵犯的；不可亵渎的，神圣的
invoke [in'vəuk] v.祈求，恳求；(法律的)实施生效；援引，援用
involuntary [in'vɔləntəri] a.无意的
invulnerable [in'vʌlnərəbl] a.无法伤害的
iodine ['aiədi:n] n.碘；碘酒
iota [ai'əutə] n.极小量，极少
irascible [i'ræsibl] a.易发怒的
irate [ai'reit] a.发怒的
ire ['aiə] n.愤怒；v.激怒
iridescent [,iri'desnt] a.因位置变动而变光的,闪彩光的
irk [ə:k] v.使苦恼的，厌烦
irksome ['ə:ksəm] a.令人苦恼的，讨厌的
ironclad [aiən'klæd] a.装铁甲的；坚固的
ironic [aiə'rɔnik] a.讽刺的，挖苦的；(讽刺意味)出乎意料的
irony ['aiərəni] n.反话；(有讽刺意味的)出人意料的事情或情况
irradicable [i'rædikəbl] a.不能根除的
irreconcilable [irekən'sailəbl] a.不能协调的，矛盾的
irredeemable [,iri'di:məbl] a.无法挽回的
irreducible [,iri'dju:səbl] a.[数]不能约的
irremediable [,iri'mi:diəbl] a.无法治愈的，无法纠正的，无法挽回的
irrepressible [,iri'presəbl] a.无法约束或阻止的
irrevocable [i'revəkəbl] a.无法取消的
irrigate ['iriɡeit] v.灌溉；冲洗伤口
irritable ['iritəbl] a.易怒的；易受刺激的
irritate ['iriteit] v.激怒；刺激
irritation [,iri'teiʃən] n.愤怒，急躁，刺激
isolate ['aisəleit] v.孤立；将„从其种群中隔离
isotope ['aisəutəup] n.同位素
issue ['isju:] v.出来，流出；发给，分发；n.(书刊的)期
isthmus ['isməs] n.地峡
itinerant [i'tinərənt] a.巡回的
itinerary [ai'tinərəri] n.行程表；旅行路线
ivory ['aivəri] n.象牙，长牙
jabber ['dʒæbə] v.快而不清楚地说
jade [dʒeid] n.疲惫的老马；玉，翡翠
jaded ['dʒeidid] a.(因厌倦而)疲惫的；(胶卷)暴光过分的
jagged ['dʒæɡid] a.锯齿状的，不整齐的
jamb [dʒæm] n.门窗的侧柱
jar [dʒɑ:] v.冲突，抵触；(猛撞)震动；发刺耳声
jargon ['dʒɑ:ɡən] n.暗语；行话
jarring ['dʒɑ:riŋ] a.声音刺耳的
jaundice ['dɔ:ndis] n.(因嫉妒、猜忌等导致的)偏见；(病)黄疸
jaundiced ['dʒɔ:ndist] a.有偏见的
jaunt [dʒɔ:nt] n./v.短程旅游
jaunty ['dʒɔ:nti] a.愉快的，满足的
jazz [dʒæz] n.爵士乐；喧闹
jealousy ['dʒeləsi] n.猜忌，嫉妒
jeer [dʒiə] v.嘲笑
jejune [dʒi'dʒu:n] a.（文）空洞的；不成熟的
jerk [dʒə:k] n./v.突然猛拉
jeopardize ['dʒepədaiz] v.危及，危害
jeopardy ['dʒepədi] n.危险
jest [dʒest] v./n.说笑，玩笑
jettison ['dʒetisn] v.(船)向外抛弃东西；n.抛弃的货物
jibe [dʒaib] v.与„一致，符合；嘲笑
jingoism ['dʒiŋɡəuiz(ə)m] n.沙文主义；侵略主义
jockey ['dʒɔki] n.骑师；v.用计谋获取
jocular ['dʒɔkjulə] a.滑稽的，诙谐的；嬉戏的
jocund ['dʒɔkənd] a.快乐的，高兴的
jog [dʒɔɡ] v.慢而平静地前进，慢跑
jolt [dʒəult] v.颠簸着移动；n.震动，摇晃
jot [dʒɔt] v.匆匆记下，摘要记录
jovial ['dʒəuviəl] a.愉快的
jubilation [dʒu:bi'leiʃ(ə)n] n.欢快，欢庆
judicial [dʒu(:)'diʃəl] a.法庭的，法官的
judicious [dʒu(:)'diʃəs] a.有判断力的；明智的
judiciousness [dʒu(:)'diʃəsnis] n.明智
juggernaut ['dʒʌɡənɔ:t] n.（贬）摧毁一切的强大力量
jumble ['dʒʌmbl] v.混杂，掺杂；n.混杂，掺杂
junction ['dʒʌŋkʃən] n.交叉路口；连接
jurisdiction [,dʒuəris'dikʃən] n.司法权，审判权，裁判权
justifiable ['dʒʌsti,faiəbl] a.有理由的，无可非议的
justification [,dʒʌstifi'keiʃ(ə)n] n.正当理由，好的（正义的）原因；辨护
justify ['dʒʌstifai] v.证明„是正当的
juvenile ['dʒu:vinail] a.少年的，似少年的
juxtapose ['dʒʌkstəpəuz] v.并排，并置
kaleidoscope [kə'laidəskəup] n.万花筒；产生有趣的对称效果
kangaroo [,kæŋɡə'ru:] n.袋鼠
ken [ken] n.视野范围；知识范围
kennel ['kenl] n.狗舍，狗窝
kernel ['kə:nl] n.果仁；核心
kidnap ['kidnæp] v.诱拐，绑架，勒赎
kidney ['kidni] n.肾
killjoy ['kildʒɔi] n.令人扫兴的人
kin [kin] n.亲属
kindle ['kindl] v.着火，点燃
kindred ['kindrid] a.同类的，同源的
kinetic [kai'netik] a.运动的，运动引起的
knack [næk] n.特殊能力；窍门
knave [neiv] n.流氓，恶棍
knead [ni:d] v.揉制，捏制（面团、湿黏土等）
knit [nit] v.编织；密接，结合
knotty ['nɔti] a.(木材)有节疤的；困难的
know-how ['nəu hau] n.专业技能，知识
