obloquy ['ɔbləkwi] n.大骂，公开斥责
obnoxious [əb'nɔkʃəs] a.令人不愉快的；可憎的
obscure [əb'skjuə] a.难理解的；不清楚的，不分明的；v.隐藏，使„模糊，使„不分明
obscurity [əb'skjuəriti] n.费解；不出名
obsequious [əb'si:kwiəs] a.(贬)逢迎的，谄媚的
observatory [əb'zə:vətəri] n.天文台
obsess [əb'ses] v.迷住；使„困窘，使„烦扰
obsessed [əb'sest] a.心神不宁的
obsession [əb'seʃən] n.入迷；固执的念头
obsolescent [,ɔbsə'lesnt] a.即将过时的
obsolete ['ɔbsəli:t] a.废弃的；过时的
obstacle ['ɔbstəkl] n.障碍，干扰
obstinacy ['ɔbstinəsi] n.固执，倔强，顽固
obstinate ['ɔbstinit] a.固执的，倔强的
obstreperous [əb'strepərəs] a.吵闹的；难管束的
obstruct [əb'strʌkt] v.阻塞，截断
obstruction [əb'strʌkʃən] n.阻碍(物)，妨碍
obtainable [əb'teinəb(ə)l] a.能得到的
obtuse [əb'tju:s] a.愚笨的；迟钝的
obverse ['ɔbvə:s] n./a.正面(的)
obviate ['ɔbvieit] v.排除(困难)
obvious ['ɔbviəs] a.明显的，显而易见的
occlude [ɔ'klu:d] v.使闭塞
occult [ɔ'kʌlt] a.秘密的，不公开的
occupation [,ɔkju'peiʃən] n.工作，职业；占领
occurrence [ə'kʌrəns] n.事件；发生
octogenarian [,ɔktəudʒi'neəriən] n.～岁的老人
odds [ɔdz] n.机会，可能性
ode [əud] n.长诗，颂歌
odious ['əudjəs] a.可憎的，讨厌的
odium ['əudiəm] n.憎恶，反感
odometer [ɔ'dɔmitə] n.(汽车)里程表
odyssey ['ɔdisi] n.长途的冒险旅行
offbeat [ɔf'bi:t] a.非传统的，不平常的
offence(offense) [ə'fens] n.得罪；错事
offend [ə'fend] v.得罪，冒犯
offensive [ə'fensiv] a.令人不快的，得罪人的
offhand ['ɔ:f'hænd] adv./a.事先无准备地(的)；(言行)随便地(的)，唐突地(的)
officious [ə'fiʃəs] a.爱发命令的，好忠告的，好管闲事的；过度殷勤的
offish ['ɔ:fiʃ] a.冷淡的，疏远的
off-key ['ɔ:fki:] a.走调的，不和谐的
offset ['ɔ:fset] v.补偿，抵消
offspring ['ɔfspriŋ] n.儿女，后代
